Company name,Company domain name,Website URL,Phone number,Facebook company page,Lead status,Lifecycle stage,Lead source,No website verified,Primary email found,Additional emails found,Enrichment notes
Buffalo Temp-Pros,,,+1-716-807-1989,https://www.facebook.com/profile.php?id=100044711683159,New,Lead,WNY no-website lead list,Yes,behan911@gmail.com,,"facebook.com: emails=none, phones=+1-219-994-5254;+1-220-391-7882;+1-220-752-0000 | openstreetmap.org: emails=behan911@gmail.com, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Crafts Unique Ceramics,,,+1-716-826-6028,https://www.facebook.com/p/Crafts-unique-ceramics-100057217219802/,New,Lead,WNY no-website lead list,Yes,craftsuniq7@gmail.com,,"openstreetmap.org: emails=craftsuniq7@gmail.com, phones=+1-309-466-6547;+1-390-553-6230;+1-515-313-8013"
Copy Town,,,+1-585-624-5074,,New,Lead,WNY no-website lead list,Yes,copytown4@gmail.com,,"openstreetmap.org: emails=copytown4@gmail.com, phones=+1-390-553-6230;+1-515-313-8013;+1-541-296-3547"
Harlequinn Hobby,,,+1-716-259-8341,https://www.facebook.com/harlequinhobby/,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-295-983-4926;+1-295-983-4927;+1-295-983-4928"
Simon Hair Salon,,,+1-716-580-3021,https://www.facebook.com/simonhairsalonub/,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Alden Full Service Laundry,,,+1-716-937-9882,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Draudt's Farm Market,,,+1-716-648-7077,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Gordy's Inn,,,+1-716-836-3330,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
A Stylish Creation,,,+1-716-578-8299,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
AnnRhod's Tailoring,,,+1-716-838-5633,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Bailey Jewelry,,,+1-716-832-0615,,New,Lead,WNY no-website lead list,Yes,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
