name,primary_email,additional_emails,primary_phone,facebook,search_domains_seen,source_notes
Buffalo Temp-Pros,behan911@gmail.com,,+1-716-807-1989,https://www.facebook.com/profile.php?id=100044711683159,bbb.org; bitcoincities.org; bizprofile.net; facebook.com; opendatany.com; opengovny.com,"facebook.com: emails=none, phones=+1-219-994-5254;+1-220-391-7882;+1-220-752-0000 | openstreetmap.org: emails=behan911@gmail.com, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Crafts Unique Ceramics,craftsuniq7@gmail.com,,+1-716-826-6028,https://www.facebook.com/p/Crafts-unique-ceramics-100057217219802/,cityof.com,"openstreetmap.org: emails=craftsuniq7@gmail.com, phones=+1-309-466-6547;+1-390-553-6230;+1-515-313-8013"
Copy Town,copytown4@gmail.com,,+1-585-624-5074,,,"openstreetmap.org: emails=copytown4@gmail.com, phones=+1-390-553-6230;+1-515-313-8013;+1-541-296-3547"
Harlequinn Hobby,,,+1-716-259-8341,https://www.facebook.com/harlequinhobby/,,"openstreetmap.org: emails=none, phones=+1-295-983-4926;+1-295-983-4927;+1-295-983-4928"
Simon Hair Salon,,,+1-716-580-3021,https://www.facebook.com/simonhairsalonub/,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Alden Full Service Laundry,,,+1-716-937-9882,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Draudt's Farm Market,,,+1-716-648-7077,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Gordy's Inn,,,+1-716-836-3330,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
A Stylish Creation,,,+1-716-578-8299,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
AnnRhod's Tailoring,,,+1-716-838-5633,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Bailey Jewelry,,,+1-716-832-0615,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Beauty & Class Salon,,,+1-716-367-1019,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Chez Elle Beauty Salon,,,+1-716-692-9414,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Elmwood Beverage Center,,,+1-716-882-1380,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Everything Beauty Salon and Spa,,,+1-716-482-2159,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Fashion City,,,+1-716-835-2819,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Fashion Nails,,,+1-716-837-8452,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Friendly Nails,,,+1-716-446-0230,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Good Looks,,,+1-716-447-7878,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Goyette's Barber Shop,,,+1-716-955-0858,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hair-Drobe Barber Shop,,,+1-716-834-4247,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Head Turners,,,+1-716-605-9211,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hertel Ave Coin Laundry,,,+1-716-768-3807,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hilites Hair Salon,,,+1-716-834-5366,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Hollywood Wine & Spirits,,,+1-585-244-4310,,,"openstreetmap.org: emails=none, phones=+1-373-342-5376;+1-390-553-6230;+1-515-313-8013"
Jimmie's Shoe Repair,,,+1-716-862-9205,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
JJ Nails,,,+1-716-783-8723,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Ken’s Barber Shop,,,+1-716-465-1022,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
La Kueva,,,+1-716-936-4933,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Lakesiders,,,+1-585-865-5001,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-865-5001"
Lakeville Liquor,,,+1-585-346-5818,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-346-5818"
Luxe Nails,,,+1-716-400-6984,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
Mar Rays Jamaican Restaurant & Lounge,,,+1-585-544-7297,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-585-544-7297"
Mardee's,,,+1-716-741-3807,,,"openstreetmap.org: emails=none, phones=+1-254-427-0572;+1-254-427-0573;+1-254-427-0574"
Mike's Steak House,,,+1-716-835-5636,,,"openstreetmap.org: emails=none, phones=+1-390-553-6230;+1-515-313-8013;+1-604-259-2996"
