name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal
Atomic Barbershop & Salon,shop:hairdresser,57 Main Street,Tonawanda,NY,14150,+1-716-389-2230,Atomic716@icloud.com,https://www.facebook.com/atomicbarbershopandsalon,node,7399782757,https://www.openstreetmap.org/node/7399782757,43.0191744,-78.8782091,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Buffalo Temp-Pros,craft:hvac,7303 Townline Road,North Tonawanda,NY,14120,+1-716-807-1989,behan911@gmail.com,https://www.facebook.com/profile.php?id=100044711683159,node,13430507378,https://www.openstreetmap.org/node/13430507378,43.0708325,-78.8225438,Niagara County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Crafts Unique Ceramics,shop:craft,4271 Lake Avenue,Buffalo,NY,14219,+1-716-826-6028,craftsuniq7@gmail.com,https://www.facebook.com/p/Crafts-unique-ceramics-100057217219802/,node,13094666547,https://www.openstreetmap.org/node/13094666547,42.7955459,-78.8191435,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Getzville Wine & Liquor,shop:alcohol,2311 Millersport Highway,Erie County,NY,,+1 716-276-8035,getzvillewine@gmail.com,https://www.facebook.com/Getzville-Wine-Liquor-61554773728218/,node,12043863219,https://www.openstreetmap.org/node/12043863219,43.013304,-78.769019,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Nickel City Mini-Mart LLC.,shop:convenience,568 Niagara Street,Buffalo,NY,14201,+1 716-342-2370,Nickelcityminimart@gmail.com,https://www.facebook.com/NICKELCITYMINIMART,node,10752127220,https://www.openstreetmap.org/node/10752127220,42.8990706,-78.8904205,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Amherst Car Care Center,shop:car_repair,3995 Harlem Road,Buffalo,NY,14226,+1-716-839-1007,amherstcarcare@gmail.com,,way,856513390,https://www.openstreetmap.org/way/856513390,42.9515021,-78.783667,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Odyssey Family Restauraunt,amenity:restaurant,3933 South Park Avenue,Buffalo,NY,14219,+1-716-825-9712,Odyssey3933@me.com,https://www.facebook.com/OdysseyBlasdell/,way,1409595752,https://www.openstreetmap.org/way/1409595752,42.7903259,-78.8242446,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time
SUNY Erie - North Campus Bookstore,shop:books,6205 Main Street,Williamsville,NY,14221,+1-716-851-1264,eccn@bkstr.com,,node,13506456247,https://www.openstreetmap.org/node/13506456247,42.9582811,-78.7231424,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Captain's Cafe,shop:coffee,368,Ontario County,NY,,+1-315-759-6045,,captainsroomcafe,node,12615203302,https://www.openstreetmap.org/node/12615203302,42.8694357,-76.9810873,Ontario County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Copy Town,shop:copyshop,7306 East Main Street,Lima,NY,14485,+1 585-624-5074,copytown4@gmail.com,,node,5412963547,https://www.openstreetmap.org/node/5412963547,42.9048134,-77.6113835,Livingston County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Elite Barber and Beauty,shop:hairdresser,1601 Penfield Road,Rochester,NY,14625,+1 585-351-4015,,https://www.facebook.com/elitebarberandbeauty,node,8785743379,https://www.openstreetmap.org/node/8785743379,43.1327428,-77.4954273,Monroe County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Harlequinn Hobby,shop:model,2070 Clinton Street,Buffalo,NY,14206,+1-716-259-8341,,https://www.facebook.com/harlequinhobby/,way,1410405519,https://www.openstreetmap.org/way/1410405519,42.8719861,-78.7997073,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Just Desserts By Aimee,shop:bakery,476 Center Street,Lewiston,NY,14092,+1 7166285892,justdessertsbyaimee@gmail.com,,node,8793221850,https://www.openstreetmap.org/node/8793221850,43.1729554,-79.0420645,Niagara County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Kung Fu Tea,amenity:cafe,520 Lee Entrance Unit 111,Erie County,NY,,+1 716-276-8402,,https://www.facebook.com/KungFuTeaUB/,node,11963934035,https://www.openstreetmap.org/node/11963934035,43.0017268,-78.7847599,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Laurie's Restaurant,amenity:restaurant,46 North Main Street,Warsaw,NY,14569,+1-585-786-2108,robync@frontiernet.net,,node,4795984364,https://www.openstreetmap.org/node/4795984364,42.740923,-78.1323684,Wyoming County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Red Roof+ University at Buffalo - Amherst,tourism:hotel,42 Flint Road,Buffalo,NY,14226,+1 716 689 7474,10104@redroof.com,,relation,8889678,https://www.openstreetmap.org/relation/8889678,42.9898245,-78.7932291,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
"Richard Daly, Esq.",office:lawyer,4249 Maple Road,Buffalo,NY,14226,+1 716-835-2200,richardfdaly@yahoo.com,,node,10553021994,https://www.openstreetmap.org/node/10553021994,42.9903784,-78.8055034,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
Shatkin F.I.R.S.T.,amenity:dentist,2495 Kensington Avenue,Buffalo,NY,14226,+1-888-474-2854,info@shatkinfirst.com,,way,894068364,https://www.openstreetmap.org/way/894068364,42.9570765,-78.7691731,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time
