name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal,verification_status,website_found_url,website_found_title,search_query
Atomic Barbershop & Salon,shop:hairdresser,57 Main Street,Tonawanda,NY,14150,+1-716-389-2230,Atomic716@icloud.com,https://www.facebook.com/atomicbarbershopandsalon,node,7399782757,https://www.openstreetmap.org/node/7399782757,43.0191744,-78.8782091,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.hairbyatomic.com/,https://www.hairbyatomic.com/,"""Atomic Barbershop & Salon"""
Getzville Wine & Liquor,shop:alcohol,2311 Millersport Highway,Erie County,NY,,+1 716-276-8035,getzvillewine@gmail.com,https://www.facebook.com/Getzville-Wine-Liquor-61554773728218/,node,12043863219,https://www.openstreetmap.org/node/12043863219,43.013304,-78.769019,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,http://www.chateauliquors.com/,http://www.chateauliquors.com/,"""Getzville Wine & Liquor"""
Nickel City Mini-Mart LLC.,shop:convenience,568 Niagara Street,Buffalo,NY,14201,+1 716-342-2370,Nickelcityminimart@gmail.com,https://www.facebook.com/NICKELCITYMINIMART,node,10752127220,https://www.openstreetmap.org/node/10752127220,42.8990706,-78.8904205,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.cylex.us.com/company/nickel-city-mini-mart-llc--29587954.html,https://www.cylex.us.com/company/nickel-city-mini-mart-llc--29587954.html,"""Nickel City Mini-Mart LLC."""
Amherst Car Care Center,shop:car_repair,3995 Harlem Road,Buffalo,NY,14226,+1-716-839-1007,amherstcarcare@gmail.com,,way,856513390,https://www.openstreetmap.org/way/856513390,42.9515021,-78.783667,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://amherstcarcare.com/,https://amherstcarcare.com/,"""Amherst Car Care Center"""
Odyssey Family Restauraunt,amenity:restaurant,3933 South Park Avenue,Buffalo,NY,14219,+1-716-825-9712,Odyssey3933@me.com,https://www.facebook.com/OdysseyBlasdell/,way,1409595752,https://www.openstreetmap.org/way/1409595752,42.7903259,-78.8242446,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://odysseyfamilyrestaurant.com/,https://odysseyfamilyrestaurant.com/,"""Odyssey Family Restauraunt"""
SUNY Erie - North Campus Bookstore,shop:books,6205 Main Street,Williamsville,NY,14221,+1-716-851-1264,eccn@bkstr.com,,node,13506456247,https://www.openstreetmap.org/node/13506456247,42.9582811,-78.7231424,Erie County,95,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.bkstr.com/erienorthstore/home,https://www.bkstr.com/erienorthstore/home,"""SUNY Erie - North Campus Bookstore"""
Captain's Cafe,shop:coffee,368,Ontario County,NY,,+1-315-759-6045,,captainsroomcafe,node,12615203302,https://www.openstreetmap.org/node/12615203302,42.8694357,-76.9810873,Ontario County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.seamless.com/menu/captains-cafe-bar--grill-18-e-33rd-st-new-york/663155,https://www.seamless.com/menu/captains-cafe-bar--grill-18-e-33rd-st-new-york/663155,"""Captain's Cafe"""
Elite Barber and Beauty,shop:hairdresser,1601 Penfield Road,Rochester,NY,14625,+1 585-351-4015,,https://www.facebook.com/elitebarberandbeauty,node,8785743379,https://www.openstreetmap.org/node/8785743379,43.1327428,-77.4954273,Monroe County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.elitebarberandbeauty.com/,https://www.elitebarberandbeauty.com/,"""Elite Barber and Beauty"""
Just Desserts By Aimee,shop:bakery,476 Center Street,Lewiston,NY,14092,+1 7166285892,justdessertsbyaimee@gmail.com,,node,8793221850,https://www.openstreetmap.org/node/8793221850,43.1729554,-79.0420645,Niagara County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.checkle.com/biz/just-desserts-by-aimee-lewiston,https://www.checkle.com/biz/just-desserts-by-aimee-lewiston,"""Just Desserts By Aimee"""
Kung Fu Tea,amenity:cafe,520 Lee Entrance Unit 111,Erie County,NY,,+1 716-276-8402,,https://www.facebook.com/KungFuTeaUB/,node,11963934035,https://www.openstreetmap.org/node/11963934035,43.0017268,-78.7847599,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.kungfutea.com/,https://www.kungfutea.com/,"""Kung Fu Tea"""
Laurie's Restaurant,amenity:restaurant,46 North Main Street,Warsaw,NY,14569,+1-585-786-2108,robync@frontiernet.net,,node,4795984364,https://www.openstreetmap.org/node/4795984364,42.740923,-78.1323684,Wyoming County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,rejected_website_found,https://www.lauriesmenu.com/,https://www.lauriesmenu.com/,"""Laurie's Restaurant"""
