name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal,verification_status,search_query,verification_error
Davis-Ulmer Fire Protection,office:company,1 Commerce Drive,Amherst,NY,14228,+1-716-691-3200,,,node,7623297682,https://www.openstreetmap.org/node/7623297682,43.0270378,-78.8157457,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Davis-Ulmer Fire Protection""","No cached search result for ""Davis-Ulmer Fire Protection"""
Derigo Sales Inc,shop:wholesale,3780 Harlem Road,Buffalo,NY,14215,+1-716-834-7578,,,way,909391707,https://www.openstreetmap.org/way/909391707,42.9470772,-78.7845817,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Derigo Sales Inc""","No cached search result for ""Derigo Sales Inc"""
Donna Marie's Gluten Free Bakery,shop:bakery,900 Jefferson Road Unit 905,Rochester,NY,14623,+1-585-254-0706,,,node,12656989508,https://www.openstreetmap.org/node/12656989508,43.0901488,-77.6130699,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Donna Marie's Gluten Free Bakery""","No cached search result for ""Donna Marie's Gluten Free Bakery"""
"Eden Veterinary Clinic, PLLC",amenity:veterinary,8217 North Main Street,Eden,NY,14057,+1-716-992-3477,,,node,1071660168,https://www.openstreetmap.org/node/1071660168,42.6633226,-78.8894745,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Eden Veterinary Clinic, PLLC""","No cached search result for ""Eden Veterinary Clinic, PLLC"""
Emergency - Strong West,amenity:clinic,156 West Avenue,Brockport,NY,14420,+1-585-758-1010,,,node,12695827474,https://www.openstreetmap.org/node/12695827474,43.2213366,-77.944362,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Emergency - Strong West""","No cached search result for ""Emergency - Strong West"""
Fabrics & Findings,shop:fabric,30 Anderson Avenue,Rochester,NY,14607,+1 585-271-6120,,,node,13227007708,https://www.openstreetmap.org/node/13227007708,43.1581763,-77.5850699,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Fabrics & Findings""","No cached search result for ""Fabrics & Findings"""
Five Star Bank,amenity:bank,5491 Sheridan Drive,Buffalo,NY,14221,+1-716-839-5555,,,way,269088552,https://www.openstreetmap.org/way/269088552,42.9772966,-78.7321436,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Five Star Bank""","No cached search result for ""Five Star Bank"""
Forever Nails,shop:beauty,3500 Main Street Unit Suite 360,Buffalo,NY,14226,+1-716-833-5424,,,node,8365956614,https://www.openstreetmap.org/node/8365956614,42.9596004,-78.8184217,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Forever Nails""","No cached search result for ""Forever Nails"""
"Frances DePlato, DDS",amenity:dentist,3795 Harlem Road,Buffalo,NY,14215,+1-716-832-5100,,,way,909391708,https://www.openstreetmap.org/way/909391708,42.9469081,-78.7835402,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Frances DePlato, DDS""","No cached search result for ""Frances DePlato, DDS"""
GNC,shop:nutrition_supplements,1601 Penfield Road,Rochester,NY,14625,+1-585-381-6710,,,node,8785743529,https://www.openstreetmap.org/node/8785743529,43.1332292,-77.4965674,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""GNC""","No cached search result for ""GNC"""
Gui's Lumber,shop:doityourself,1889 Whitehaven Road,Grand Island,NY,14072,+1 716-773-9060,,,way,1136836355,https://www.openstreetmap.org/way/1136836355,43.0225536,-78.961694,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Gui's Lumber""","No cached search result for ""Gui's Lumber"""
Happy Earth Tea,shop:tea,696 South Avenue,Rochester,NY,14620,+1 585-730-7754,,,node,11666270148,https://www.openstreetmap.org/node/11666270148,43.1417094,-77.6042285,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Happy Earth Tea""","No cached search result for ""Happy Earth Tea"""
Hard Rock Cafe,amenity:restaurant,333 Prospect Street,Niagara Falls,NY,14303,+1 716-282-0007,,,way,1436076416,https://www.openstreetmap.org/way/1436076416,43.0867219,-79.064351,Niagara County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Hard Rock Cafe""","No cached search result for ""Hard Rock Cafe"""
Heads Up Barber Shop,shop:hairdresser,4498 Main Street Unit #6,Amherst,NY,14226,+1-716-839-1569,,,node,6919264178,https://www.openstreetmap.org/node/6919264178,42.9641301,-78.7837422,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Heads Up Barber Shop""","No cached search result for ""Heads Up Barber Shop"""
Herman's Farm Market & Cider Mill,shop:farm,741 Five Mile Line Road,Webster,NY,14580,+1 585-671-1246,,,node,10043184132,https://www.openstreetmap.org/node/10043184132,43.2240822,-77.4762638,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Herman's Farm Market & Cider Mill""","No cached search result for ""Herman's Farm Market & Cider Mill"""
Hilton Family Restaurant,amenity:restaurant,54 Hovey Street,Hilton,NY,14468,+1 585-392-4700,,,way,955164435,https://www.openstreetmap.org/way/955164435,43.2892219,-77.7916047,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Hilton Family Restaurant""","No cached search result for ""Hilton Family Restaurant"""
Home Outlet,shop:doityourself,1800 Empire Boulevard,Webster,NY,14580,+1-585-671-3200,,,way,306154258,https://www.openstreetmap.org/way/306154258,43.1879209,-77.5041128,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Home Outlet""","No cached search result for ""Home Outlet"""
HomeGoods,shop:houseware,1501 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716-862-8193,,,node,10130980700,https://www.openstreetmap.org/node/10130980700,42.9963688,-78.8201389,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""HomeGoods""","No cached search result for ""HomeGoods"""
Howard Hanna,office:estate_agent,3195 Niagara Falls Boulevard,Buffalo,NY,14228,+1 716-691-5800,,,way,259135876,https://www.openstreetmap.org/way/259135876,43.0416563,-78.8235475,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Howard Hanna""","No cached search result for ""Howard Hanna"""
Hubert's Auto and Truck Repair,shop:car_repair,3754 Harlem Road,Buffalo,NY,14215,+1-716-835-2987,,,way,917192155,https://www.openstreetmap.org/way/917192155,42.9459917,-78.7846592,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Hubert's Auto and Truck Repair""","No cached search result for ""Hubert's Auto and Truck Repair"""
India House Express,amenity:restaurant,1340 Mount Hope Avenue Unit 1,Rochester,NY,14620,+1 585-360-2955,,,node,8786088134,https://www.openstreetmap.org/node/8786088134,43.1238281,-77.6175848,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""India House Express""","No cached search result for ""India House Express"""
J C Miller Co. General Store,shop:general,10707 Millers Road,Lyndonville,NY,14098,+1-585-765-3266,,,way,830104516,https://www.openstreetmap.org/way/830104516,43.326282,-78.4282865,Orleans County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""J C Miller Co. General Store""","No cached search result for ""J C Miller Co. General Store"""
Jay's Integrity Auto Repair,shop:car_repair,241 East Henrietta Road,Rochester,NY,14620,+1 585 271 3270,,,way,970683429,https://www.openstreetmap.org/way/970683429,43.1166779,-77.6173601,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Jay's Integrity Auto Repair""","No cached search result for ""Jay's Integrity Auto Repair"""
Jugnoo's Pakistani Restaurant,amenity:restaurant,3333 W Henrietta Road Unit C,Rochester,NY,14623,+1-585-340-6554,,,node,2687125276,https://www.openstreetmap.org/node/2687125276,43.0879265,-77.6441604,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Jugnoo's Pakistani Restaurant""","No cached search result for ""Jugnoo's Pakistani Restaurant"""
KeyBank,amenity:bank,5200 Main Street,Williamsville,NY,14221,+1-716-276-7902,,,way,894077385,https://www.openstreetmap.org/way/894077385,42.9609263,-78.7588985,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""KeyBank""","No cached search result for ""KeyBank"""
KOCINA Stingray Sushifusion 2GO,amenity:restaurant,1921 South Avenue,Rochester,NY,14620,+1 585-978-7966,,,node,6975341034,https://www.openstreetmap.org/node/6975341034,43.1178221,-77.6171493,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""KOCINA Stingray Sushifusion 2GO""","No cached search result for ""KOCINA Stingray Sushifusion 2GO"""
Kwik Fill,amenity:fuel,3724 Harlem Road,Buffalo,NY,14215,+1-716-835-1616,,,way,637019362,https://www.openstreetmap.org/way/637019362,42.9452955,-78.7845531,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Kwik Fill""","No cached search result for ""Kwik Fill"""
L.W Integrity Funding,shop:money_lender,4498 Main Street Unit #8,Amherst,NY,14226,+1-716-873-3500,,,node,6919264177,https://www.openstreetmap.org/node/6919264177,42.9642312,-78.7837422,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""L.W Integrity Funding""","No cached search result for ""L.W Integrity Funding"""
Lake Breeze Bicycle,shop:bicycle,10707 Millers Road,Lyndonville,NY,14098,+1-585-735-5970,,,node,13003040494,https://www.openstreetmap.org/node/13003040494,43.3263118,-78.4282119,Orleans County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Lake Breeze Bicycle""","No cached search result for ""Lake Breeze Bicycle"""
Lands' End Inlet,shop:clothes,2000 Miracle Mile Drive,Rochester,NY,14623,+1 585-424-3500,,,way,125920672,https://www.openstreetmap.org/way/125920672,43.0853663,-77.6369924,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Lands' End Inlet""","No cached search result for ""Lands' End Inlet"""
Little Caesars,amenity:fast_food,1297 Chili Avenue,Rochester,NY,14624,+1 585-235-2400,,,node,8786021401,https://www.openstreetmap.org/node/8786021401,43.1382341,-77.6703009,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Little Caesars""","No cached search result for ""Little Caesars"""
Manzara Cafe,amenity:cafe,2341 Monroe Avenue,Rochester,NY,14618,+1 5855379910,,,node,8785865782,https://www.openstreetmap.org/node/8785865782,43.1196552,-77.557595,Monroe County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Manzara Cafe""","No cached search result for ""Manzara Cafe"""
Mark's Country Store,shop:agrarian,254 West Main Street,Springville,NY,14141,+1-716-592-9172,,,way,629942332,https://www.openstreetmap.org/way/629942332,42.5086161,-78.6767011,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,unverified_search_failed,"""Mark's Country Store""","No cached search result for ""Mark's Country Store"""
