name,category,address,city,state,postcode,phone,email,facebook,osm_type,osm_id,osm_url,latitude,longitude,source_region,confidence_score,no_website_signal,verification_status,search_query,searched_at,verification_notes
Buffalo Temp-Pros,craft:hvac,7303 Townline Road,North Tonawanda,NY,14120,+1-716-807-1989,behan911@gmail.com,https://www.facebook.com/profile.php?id=100044711683159,node,13430507378,https://www.openstreetmap.org/node/13430507378,43.0708325,-78.8225438,Niagara County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Buffalo Temp-Pros""",2026-05-11T23:15:54.474Z,
Crafts Unique Ceramics,shop:craft,4271 Lake Avenue,Buffalo,NY,14219,+1-716-826-6028,craftsuniq7@gmail.com,https://www.facebook.com/p/Crafts-unique-ceramics-100057217219802/,node,13094666547,https://www.openstreetmap.org/node/13094666547,42.7955459,-78.8191435,Erie County,100,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Crafts Unique Ceramics""",2026-05-11T23:16:09.632Z,
Copy Town,shop:copyshop,7306 East Main Street,Lima,NY,14485,+1 585-624-5074,copytown4@gmail.com,,node,5412963547,https://www.openstreetmap.org/node/5412963547,42.9048134,-77.6113835,Livingston County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Copy Town""",2026-05-11T23:17:00.936Z,
Harlequinn Hobby,shop:model,2070 Clinton Street,Buffalo,NY,14206,+1-716-259-8341,,https://www.facebook.com/harlequinhobby/,way,1410405519,https://www.openstreetmap.org/way/1410405519,42.8719861,-78.7997073,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Harlequinn Hobby""",2026-05-11T23:17:05.552Z,
Simon Hair Salon,shop:hairdresser,520 Lee Entrance Unit 106,Erie County,NY,,+1 716-580-3021,,https://www.facebook.com/simonhairsalonub/,node,11963934024,https://www.openstreetmap.org/node/11963934024,43.0018891,-78.7852145,Erie County,90,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Simon Hair Salon""",2026-05-11T23:17:56.436Z,
Alden Full Service Laundry,shop:laundry,12810 Broadway Street,Alden,NY,14004,+1-716-937-9882,,,node,8457856526,https://www.openstreetmap.org/node/8457856526,42.8957431,-78.5100357,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,verified_no_official_website_in_top_search_results,"""Alden Full Service Laundry""",2026-05-11T23:18:50.359Z,
Draudt's Farm Market,amenity:marketplace,4779 Clark Street,Hamburg,NY,14075,+1-716-648-7077,,,way,907890518,https://www.openstreetmap.org/way/907890518,42.735351,-78.8040828,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,manual_computer_verified_no_official_website_in_google_results,"""Draudt's Farm Market"" Hamburg NY website",2026-05-12T01:38:24.716Z,"Manual Google/Computer check: first-page results showed Google Business Profile, Wheree, Instagram, Erie County, Step Out Buffalo, Facebook, Yelp, Cornell/CCE, Buffalo-Niagara Gardening, Yahoo Local; no official company domain visible."
Gordy's Inn,amenity:bar,3676 Harlem Road,Buffalo,NY,14215,+1-716-836-3330,,,way,1238059134,https://www.openstreetmap.org/way/1238059134,42.9438245,-78.78439,Erie County,85,No website/contact:website/url tag recorded in OpenStreetMap at generation time,manual_computer_verified_no_official_website_in_google_results,"""Gordy's Inn"" Buffalo NY website",2026-05-12T01:38:24.716Z,Manual Google/Computer check: results showed Google Business Profile plus generated/listing pages such as edan.io/res-menu/weeblyte and Facebook/Yelp; visible generated page stated it is not the official website. No official company domain visible.
A Stylish Creation,shop:hairdresser,1890 Hertel Avenue,Buffalo,NY,14216,+17165788299,,,node,9288904475,https://www.openstreetmap.org/node/9288904475,42.9476618,-78.8379724,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,manual_web_verified_no_official_website,"""A Stylish Creation"" ""+17165788299""",2026-05-12T02:19:03.440Z,"Exact web search showed directory/listing pages only (loc8nearme.com, verview.com, mapquest.com, salondiscover.com, manereviews.com, giftly.com); no official domain surfaced."
AnnRhod's Tailoring,shop:tailor,3185 Bailey Avenue,Buffalo,NY,14215,+17168385633,,,way,1020793596,https://www.openstreetmap.org/way/1020793596,42.9414589,-78.8133822,Erie County,80,No website/contact:website/url tag recorded in OpenStreetMap at generation time,manual_web_verified_no_official_website,"""AnnRhod's Tailoring"" ""+17168385633""",2026-05-12T02:19:03.441Z,"Exact web search showed tailor directories only (tailornearme.co, chamberofcommerce.com); no official domain surfaced."
